Spanish,English
que,that
de,of
a,to
la,the
el,he
es,is
y,and
en,in
lo,it
por,by
qué,that
una,a
te,tea
se,HE
con,with
mi,my
pero,but
eso,that
sí,Yeah
tu,you
aquí,here
del,of the
al,to the
como,as
le,you
más,further
ya,already
todo,all
esta,this
hay,there is
algo,something
estoy,I'm
nos,us
cuando,when
ha,ha
sé,HE
estás,are
así,So
puedo,I can
cómo,as
quiero,wanna
soy,am
tiene,has
gracias,thank you
o,either
él,he
bueno,Well
fue,was
ser,be
hacer,do
son,are
era,was
eres,are
vez,time
tienes,have
creo,believe
he,I have
ese,that
voy,go
puede,can
sabes,You know
hola,hello
sus,their
porque,because
quién,who
nunca,never
dónde,where
quieres,want
esa,that
dos,two
tan,so
señor,Sir
tiempo,time
verdad,TRUE
estaba,was
mejor,better
están,are
va,goes
hombre,man
usted,you
hace,does
entonces,so
siento,I feel
tenemos,have
puedes,can
ahí,there
ver,see
alguien,someone
sr,Mr
sin,without
mí,my
años,years
sobre,about
decir,say
siempre,always
oh,oh
ir,go
cosas,things
también,also
antes,before
has,you have
ni,neither
mis,my
estar,be
estamos,we are
noche,evening
nadie,nobody
quiere,wants
parece,seems
nosotros,us
poco,bit
padre,father
trabajo,job
gente,people
vas,you go
sea,be
les,them
donde,where
mismo,same
hecho,made
ellos,they
dijo,said
pasa,happens
hijo,son
tal,such
seguro,sure
claro,clear
estas,are
lugar,place
mundo,world
espera,wait
mierda,shit
han,they have
tus,your
sabe,know
después,after
momento,moment
desde,from
fuera,out
cosa,stuff
mañana,tomorrow
podemos,can
dije,said
gran,great
necesito,need
estado,state
podría,could
acuerdo,agreement
tener,have
mío,mine
crees,do you believe
buena,good
gusta,like
nuestro,our
nuevo,new
será,will be
haciendo,doing
